metric_name,month,day_of_month,avg_precip_mtd,min_precip_mtd,max_precip_mtd,p10_precip_mtd,p25_precip_mtd,p50_precip_mtd,p75_precip_mtd,p90_precip_mtd
precip,May,11,0.5589999999999999,0.0,3.5600000000000005,0.01800000000000001,0.0925,0.325,0.8825000000000001,1.5710000000000002
precip,May,12,0.6153333333333334,0.0,3.5600000000000005,0.01800000000000001,0.0925,0.435,0.8825000000000001,1.6800000000000002
precip,May,13,0.6443333333333334,0.0,3.5600000000000005,0.01800000000000001,0.095,0.435,0.8825000000000001,1.6960000000000004
precip,May,14,0.6646666666666667,0.0,3.5600000000000005,0.01800000000000001,0.095,0.435,0.885,1.7030000000000003
precip,May,15,0.6843333333333333,0.0,3.5600000000000005,0.02,0.095,0.5700000000000001,0.885,1.7030000000000003
precip,May,16,0.7576666666666667,0.0,3.6000000000000005,0.04800000000000001,0.22500000000000003,0.5900000000000001,0.8925000000000001,2.095
precip,May,17,0.8360000000000001,0.0,3.6000000000000005,0.07700000000000001,0.2675,0.72,1.0525,2.095
precip,May,18,0.9146666666666667,0.0,3.6000000000000005,0.07700000000000001,0.36250000000000004,0.78,1.0950000000000002,2.104
precip,May,19,0.9533333333333334,0.0,3.6000000000000005,0.07700000000000001,0.36250000000000004,0.78,1.1075000000000002,2.311
precip,May,20,0.984,0.05,3.6000000000000005,0.107,0.36250000000000004,0.805,1.2775,2.3460000000000005
precip,May,21,1.076,0.07,3.9100000000000006,0.137,0.47500000000000003,0.835,1.51,2.3460000000000005
precip,May,22,1.137,0.09,3.9900000000000007,0.21200000000000005,0.4975,0.8600000000000001,1.64,2.4539999999999997
precip,May,23,1.2020000000000002,0.09,3.9900000000000007,0.37300000000000005,0.555,0.905,1.64,2.5940000000000007
precip,May,24,1.3039999999999998,0.09,3.9900000000000007,0.399,0.5800000000000001,1.0,1.6425,2.7940000000000005
precip,May,25,1.3539999999999999,0.14,3.9900000000000007,0.40900000000000003,0.5800000000000001,1.0,1.6624999999999999,2.8130000000000006
precip,May,26,1.3960000000000001,0.14,4.56,0.436,0.615,1.01,1.745,2.842000000000001
precip,May,27,1.4383333333333332,0.14,4.76,0.47200000000000003,0.6325000000000001,1.045,1.745,3.0220000000000007
precip,May,28,1.526,0.14,4.76,0.48000000000000004,0.675,1.19,1.745,3.5
precip,May,29,1.5866666666666667,0.14,4.76,0.516,0.7375,1.28,1.745,3.5989999999999998
precip,May,30,1.6340000000000001,0.14,5.140000000000001,0.516,0.7375,1.29,1.7475,3.6889999999999996
precip,May,31,1.6343333333333334,0.14,5.140000000000001,0.516,0.7375,1.29,1.7475,3.69
precip,Jun,1,0.017,0.0,0.25,0.0,0.0,0.0,0.0,0.041000000000000016
precip,Jun,2,0.045000000000000005,0.0,1.0699999999999998,0.0,0.0,0.0,0.0,0.13200000000000003
precip,Jun,3,0.048,0.0,1.0699999999999998,0.0,0.0,0.0,0.037500000000000006,0.13200000000000003
precip,Jun,4,0.08466666666666667,0.0,1.0699999999999998,0.0,0.0,0.0,0.11,0.35300000000000004
precip,Jun,5,0.126,0.0,1.0699999999999998,0.0,0.0,0.0,0.115,0.5520000000000002
precip,Jun,6,0.223,0.0,1.0699999999999998,0.0,0.0,0.04000000000000001,0.4675,0.7130000000000001
precip,Jun,7,0.25966666666666666,0.0,1.46,0.0,0.0,0.045,0.595,0.8200000000000001
precip,Jun,8,0.2926666666666667,0.0,1.48,0.0,0.0,0.09,0.6325,0.8500000000000002
precip,Jun,9,0.3373333333333334,0.0,1.64,0.0,0.0,0.1,0.7175,0.9940000000000002
precip,Jun,10,0.41833333333333333,0.0,1.74,0.0,0.0,0.125,0.795,1.161
precip,Jun,11,0.47,0.0,1.74,0.0,0.0,0.195,0.795,1.382
precip,Jun,12,0.5093333333333334,0.0,1.74,0.0,0.0025,0.265,0.8150000000000001,1.382
precip,Jun,13,0.5816666666666667,0.0,2.01,0.0,0.005,0.43000000000000005,0.91,1.455
precip,Jun,14,0.6043333333333333,0.0,2.01,0.0,0.0125,0.43000000000000005,0.91,1.568
precip,Jun,15,0.6136666666666667,0.0,2.01,0.0,0.0125,0.435,0.91,1.568
precip,Jun,16,0.6376666666666666,0.0,2.23,0.0,0.0625,0.435,1.0725,1.568
precip,Jun,17,0.7243333333333334,0.0,3.71,0.0,0.0675,0.55,1.0725,1.641
precip,Jun,18,0.7353333333333333,0.0,3.71,0.0,0.0825,0.55,1.0725,1.658
precip,Jun,19,0.7733333333333333,0.0,3.71,0.0,0.0825,0.62,1.2000000000000002,1.658
