metric_name,month,day_of_month,avg_precip_mtd,min_precip_mtd,max_precip_mtd,p10_precip_mtd,p25_precip_mtd,p50_precip_mtd,p75_precip_mtd,p90_precip_mtd
rain,Mar,18,0.46075,0.0,2.125,0.06449999999999992,0.16562500000000002,0.41500000000000004,0.68125,0.9965
rain,Mar,19,0.48824999999999996,0.0,2.125,0.07349999999999991,0.180625,0.41874999999999996,0.73125,1.05875
rain,Mar,20,0.5167499999999999,0.0,2.125,0.07800000000000001,0.210625,0.4975,0.73125,1.05875
rain,Mar,21,0.5389166666666667,0.0,2.125,0.12300000000000003,0.21250000000000002,0.4975,0.7387499999999999,1.0725000000000002
rain,Mar,22,0.583,0.0074999999999999,2.125,0.18400000000000002,0.26687500000000003,0.4975,0.7499999999999999,1.25075
rain,Mar,23,0.7283333333333333,0.0074999999999999,2.1700000000000004,0.19075000000000003,0.350625,0.5937499999999999,1.185625,1.45775
rain,Mar,24,0.7815,0.0075,2.4300000000000006,0.19275000000000003,0.36062500000000003,0.6512499999999999,1.20875,1.5264999999999997
rain,Mar,25,0.8448333333333333,0.0075,2.665,0.19275000000000003,0.36250000000000004,0.7124999999999999,1.2325,1.5747500000000003
rain,Mar,26,0.8946666666666666,0.0075,2.665,0.19975,0.44937499999999997,0.80125,1.2325,1.5747500000000003
rain,Mar,27,0.9619166666666666,0.0075,3.065,0.29050000000000004,0.5381250000000001,0.8712500000000001,1.2325,1.5747500000000003
rain,Mar,28,1.07525,0.0075,3.065,0.29450000000000004,0.603125,0.96875,1.4999999999999996,1.6782500000000007
rain,Mar,29,1.1269999999999998,0.0075,3.065,0.2995,0.6218749999999998,0.96875,1.551875,1.8437500000000004
rain,Mar,30,1.155,0.0075,3.215,0.2995,0.673125,1.01,1.551875,1.8527500000000003
rain,Mar,31,1.18475,0.0075,3.215,0.41850000000000004,0.6937499999999999,1.0662500000000001,1.551875,1.9157500000000003
rain,Apr,1,0.03966666666666666,0.0,0.44,0.0,0.0,0.0,0.015,0.07000000000000015
rain,Apr,2,0.09258333333333332,0.0,1.9300000000000002,0.0,0.0,0.035,0.08,0.37074999999999997
rain,Apr,3,0.13783333333333334,0.0,1.9300000000000002,0.0,0.0,0.045,0.14250000000000002,0.40375000000000005
rain,Apr,4,0.15799999999999997,0.0,1.9300000000000002,0.0,0.0,0.05,0.3,0.44075
rain,Apr,5,0.19249999999999998,0.0,1.9300000000000002,0.0,0.0,0.08,0.3275,0.57375
rain,Apr,6,0.25233333333333335,0.0,1.9300000000000002,0.0,0.0,0.08625,0.393125,0.7907500000000001
rain,Apr,7,0.32708333333333334,0.0,1.9300000000000002,0.0,0.0075,0.18,0.42750000000000005,1.0372500000000002
rain,Apr,8,0.4503333333333333,0.0,1.9300000000000002,0.0,0.065,0.2862499999999999,0.8018750000000001,1.1695
